Time_Days	Prod_method	Mean_part_size	Encaps_rate	Hyper_wiener_index	PLGA_conc	PVA_conc_inner_phase	Inner_phase_volume	PLGA_Mw	diss_add_conc	diss_pH	PVA_Mw	PLGA_visc	PLGA_to_Placticizer	PVA_conc_outer_phase	S_no	pH_1_logd	Dreiding_energy	pH_0_logd	Fused_aliphatic_ring_count	C_no	Q_perc
0.0	1	6.75	18.0	224033430	5.0	1.0	2.0	10000	0.04	7.4	25000	0.133	0.0	0.3	7	0.0	11461.34	0.0	0	270	0.0
0.8170000000000001	1	6.75	18.0	224033430	5.0	1.0	2.0	10000	0.04	7.4	25000	0.133	0.0	0.3	7	0.0	11461.34	0.0	0	270	66.37899999999999
3.065	1	6.75	18.0	224033430	5.0	1.0	2.0	10000	0.04	7.4	25000	0.133	0.0	0.3	7	0.0	11461.34	0.0	0	270	66.81
6.063	1	6.75	18.0	224033430	5.0	1.0	2.0	10000	0.04	7.4	25000	0.133	0.0	0.3	7	0.0	11461.34	0.0	0	270	67.241
9.06	1	6.75	18.0	224033430	5.0	1.0	2.0	10000	0.04	7.4	25000	0.133	0.0	0.3	7	0.0	11461.34	0.0	0	270	78.44800000000001
11.921	1	6.75	18.0	224033430	5.0	1.0	2.0	10000	0.04	7.4	25000	0.133	0.0	0.3	7	0.0	11461.34	0.0	0	270	93.53399999999999
14.985999999999999	1	6.75	18.0	224033430	5.0	1.0	2.0	10000	0.04	7.4	25000	0.133	0.0	0.3	7	0.0	11461.34	0.0	0	270	98.70700000000001
17.984	1	6.75	18.0	224033430	5.0	1.0	2.0	10000	0.04	7.4	25000	0.133	0.0	0.3	7	0.0	11461.34	0.0	0	270	100.0
24.932	1	6.75	18.0	224033430	5.0	1.0	2.0	10000	0.04	7.4	25000	0.133	0.0	0.3	7	0.0	11461.34	0.0	0	270	100.0
1.023	1	44.0	65.86	-429981997	20.0	1.0	1.0	34000	0.0	7.4	50000	0.4	100.0	0.3	39	18.14	1166699.675	18.14	0	2935	4.261
8.005	1	44.0	65.86	-429981997	20.0	1.0	1.0	34000	0.0	7.4	50000	0.4	100.0	0.3	39	18.14	1166699.675	18.14	0	2935	7.487
15.075	1	44.0	65.86	-429981997	20.0	1.0	1.0	34000	0.0	7.4	50000	0.4	100.0	0.3	39	18.14	1166699.675	18.14	0	2935	9.357000000000001
22.052	1	44.0	65.86	-429981997	20.0	1.0	1.0	34000	0.0	7.4	50000	0.4	100.0	0.3	39	18.14	1166699.675	18.14	0	2935	10.779000000000002
29.033	1	44.0	65.86	-429981997	20.0	1.0	1.0	34000	0.0	7.4	50000	0.4	100.0	0.3	39	18.14	1166699.675	18.14	0	2935	13.554
0.0	4	83.53	83.0	-429981997	12.14	0.0	3.5	46000	0.0	7.5	31000	0.525	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	0.0
1.088	4	83.53	83.0	-429981997	12.14	0.0	3.5	46000	0.0	7.5	31000	0.525	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	21.074
7.066	4	83.53	83.0	-429981997	12.14	0.0	3.5	46000	0.0	7.5	31000	0.525	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	37.603
14.030999999999999	4	83.53	83.0	-429981997	12.14	0.0	3.5	46000	0.0	7.5	31000	0.525	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	36.777
28.234	4	83.53	83.0	-429981997	12.14	0.0	3.5	46000	0.0	7.5	31000	0.525	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	40.083
46.028	4	83.53	83.0	-429981997	12.14	0.0	3.5	46000	0.0	7.5	31000	0.525	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	35.537
54.292	4	83.53	83.0	-429981997	12.14	0.0	3.5	46000	0.0	7.5	31000	0.525	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	37.603
63.132	4	83.53	83.0	-429981997	12.14	0.0	3.5	46000	0.0	7.5	31000	0.525	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	63.223
84.323	4	83.53	83.0	-429981997	12.14	0.0	3.5	46000	0.0	7.5	31000	0.525	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	74.793
0.868	1	0.42	70.8	1012936979	10.0	1.0	2.0	46000	0.0	7.4	30000	0.525	0.0	0.3	22	0.0	16318.4	0.0	0	1901	18.394000000000002
3.818	1	0.42	70.8	1012936979	10.0	1.0	2.0	46000	0.0	7.4	30000	0.525	0.0	0.3	22	0.0	16318.4	0.0	0	1901	18.394000000000002
6.941	1	0.42	70.8	1012936979	10.0	1.0	2.0	46000	0.0	7.4	30000	0.525	0.0	0.3	22	0.0	16318.4	0.0	0	1901	22.073
11.8	1	0.42	70.8	1012936979	10.0	1.0	2.0	46000	0.0	7.4	30000	0.525	0.0	0.3	22	0.0	16318.4	0.0	0	1901	25.752
16.833	1	0.42	70.8	1012936979	10.0	1.0	2.0	46000	0.0	7.4	30000	0.525	0.0	0.3	22	0.0	16318.4	0.0	0	1901	33.109
22.733	1	0.42	70.8	1012936979	10.0	1.0	2.0	46000	0.0	7.4	30000	0.525	0.0	0.3	22	0.0	16318.4	0.0	0	1901	36.788000000000004
27.939	1	0.42	70.8	1012936979	10.0	1.0	2.0	46000	0.0	7.4	30000	0.525	0.0	0.3	22	0.0	16318.4	0.0	0	1901	40.467
31.930999999999997	1	0.42	70.8	1012936979	10.0	1.0	2.0	46000	0.0	7.4	30000	0.525	0.0	0.3	22	0.0	16318.4	0.0	0	1901	47.824
36.79	1	0.42	70.8	1012936979	10.0	1.0	2.0	46000	0.0	7.4	30000	0.525	0.0	0.3	22	0.0	16318.4	0.0	0	1901	55.181999999999995
42.863	1	0.42	70.8	1012936979	10.0	1.0	2.0	46000	0.0	7.4	30000	0.525	0.0	0.3	22	0.0	16318.4	0.0	0	1901	58.861000000000004
