Time_Days	Prod_method	Mean_part_size	Encaps_rate	Hyper_wiener_index	PLGA_conc	PVA_conc_inner_phase	Inner_phase_volume	PLGA_Mw	diss_add_conc	diss_pH	PVA_Mw	PLGA_visc	PLGA_to_Placticizer	PVA_conc_outer_phase	S_no	pH_1_logd	Dreiding_energy	pH_0_logd	Fused_aliphatic_ring_count	C_no	Q_perc
0.0	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	0.0
1.129	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	10.075
2.097	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	11.472000000000001
8.065	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	13.128
15.0	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	16.18
23.065	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	18.108
30.0	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	19.76
36.774	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	20.853
45.806000000000004	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	23.616999999999997
48.871	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	26.405
58.065	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	35.888000000000005
65.0	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	38.66
0.0	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	0.0
0.025	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	41.481
0.261	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	64.444
1.0	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	77.03699999999999
2.008	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	94.444
3.0	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	96.667
5.024	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	97.385
6.0120000000000005	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	98.76899999999999
7.03	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.23100000000001
8.017000000000001	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
9.993	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
11.01	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
12.027000000000001	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
13.015	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
14.032	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
18.958	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	100.0
23.958000000000002	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	100.0
26.979	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	100.0
1.0170000000000001	1	46.0	91.09	-429981997	20.0	1.0	1.0	34000	0.0	7.4	50000	0.4	0.0	0.3	39	0.0	1166699.675	0.0	0	2935	2.456
8.089	1	46.0	91.09	-429981997	20.0	1.0	1.0	34000	0.0	7.4	50000	0.4	0.0	0.3	39	0.0	1166699.675	0.0	0	2935	5.003
14.974	1	46.0	91.09	-429981997	20.0	1.0	1.0	34000	0.0	7.4	50000	0.4	0.0	0.3	39	0.0	1166699.675	0.0	0	2935	6.4270000000000005
21.951	1	46.0	91.09	-429981997	20.0	1.0	1.0	34000	0.0	7.4	50000	0.4	0.0	0.3	39	0.0	1166699.675	0.0	0	2935	7.849
28.934	1	46.0	91.09	-429981997	20.0	1.0	1.0	34000	0.0	7.4	50000	0.4	0.0	0.3	39	0.0	1166699.675	0.0	0	2935	11.3
0.962718813	3	30.0	100.0	-429981997	4.0	0.0	5.0	34000	0.0	7.4	0	0.4	100.0	0.0	39	1.3	1166699.675	1.3	0	2935	59.603
3.9880737470999996	3	30.0	100.0	-429981997	4.0	0.0	5.0	34000	0.0	7.4	0	0.4	100.0	0.0	39	1.3	1166699.675	1.3	0	2935	60.678000000000004
7.0152921583	3	30.0	100.0	-429981997	4.0	0.0	5.0	34000	0.0	7.4	0	0.4	100.0	0.0	39	1.3	1166699.675	1.3	0	2935	64.77199999999999
9.053237209	3	30.0	100.0	-429981997	4.0	0.0	5.0	34000	0.0	7.4	0	0.4	100.0	0.0	39	1.3	1166699.675	1.3	0	2935	66.243
12.0184950094	3	30.0	100.0	-429981997	4.0	0.0	5.0	34000	0.0	7.4	0	0.4	100.0	0.0	39	1.3	1166699.675	1.3	0	2935	69.961
16.0312598269	3	30.0	100.0	-429981997	4.0	0.0	5.0	34000	0.0	7.4	0	0.4	100.0	0.0	39	1.3	1166699.675	1.3	0	2935	70.64
18.0694378123	3	30.0	100.0	-429981997	4.0	0.0	5.0	34000	0.0	7.4	0	0.4	100.0	0.0	39	1.3	1166699.675	1.3	0	2935	72.488
0.0	4	3.8	18.0	-429981997	2.2359999999999998	0.0	20.0	12000	0.0	7.4	0	0.2	10.4	0.0	39	-4.73	1166699.675	-4.73	0	2935	0.0
0.977	4	3.8	18.0	-429981997	2.2359999999999998	0.0	20.0	12000	0.0	7.4	0	0.2	10.4	0.0	39	-4.73	1166699.675	-4.73	0	2935	19.259
1.97	4	3.8	18.0	-429981997	2.2359999999999998	0.0	20.0	12000	0.0	7.4	0	0.2	10.4	0.0	39	-4.73	1166699.675	-4.73	0	2935	23.704
3.8560000000000003	4	3.8	18.0	-429981997	2.2359999999999998	0.0	20.0	12000	0.0	7.4	0	0.2	10.4	0.0	39	-4.73	1166699.675	-4.73	0	2935	30.741
5.942	4	3.8	18.0	-429981997	2.2359999999999998	0.0	20.0	12000	0.0	7.4	0	0.2	10.4	0.0	39	-4.73	1166699.675	-4.73	0	2935	38.148
7.928	4	3.8	18.0	-429981997	2.2359999999999998	0.0	20.0	12000	0.0	7.4	0	0.2	10.4	0.0	39	-4.73	1166699.675	-4.73	0	2935	45.926
10.009	4	3.8	18.0	-429981997	2.2359999999999998	0.0	20.0	12000	0.0	7.4	0	0.2	10.4	0.0	39	-4.73	1166699.675	-4.73	0	2935	57.778
11.999	4	3.8	18.0	-429981997	2.2359999999999998	0.0	20.0	12000	0.0	7.4	0	0.2	10.4	0.0	39	-4.73	1166699.675	-4.73	0	2935	61.111000000000004
13.888	4	3.8	18.0	-429981997	2.2359999999999998	0.0	20.0	12000	0.0	7.4	0	0.2	10.4	0.0	39	-4.73	1166699.675	-4.73	0	2935	65.926
15.876	4	3.8	18.0	-429981997	2.2359999999999998	0.0	20.0	12000	0.0	7.4	0	0.2	10.4	0.0	39	-4.73	1166699.675	-4.73	0	2935	71.111
19.955	4	3.8	18.0	-429981997	2.2359999999999998	0.0	20.0	12000	0.0	7.4	0	0.2	10.4	0.0	39	-4.73	1166699.675	-4.73	0	2935	78.148
25.927	4	3.8	18.0	-429981997	2.2359999999999998	0.0	20.0	12000	0.0	7.4	0	0.2	10.4	0.0	39	-4.73	1166699.675	-4.73	0	2935	86.667
30.008000000000003	4	3.8	18.0	-429981997	2.2359999999999998	0.0	20.0	12000	0.0	7.4	0	0.2	10.4	0.0	39	-4.73	1166699.675	-4.73	0	2935	92.22200000000001
0.0	4	109.68	87.0	-429981997	12.14	0.0	3.5	33000	0.0	7.5	31000	0.55	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	0.0
1.258	4	109.68	87.0	-429981997	12.14	0.0	3.5	33000	0.0	7.5	31000	0.55	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	87.243
7.195	4	109.68	87.0	-429981997	12.14	0.0	3.5	33000	0.0	7.5	31000	0.55	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	87.654
13.927	4	109.68	87.0	-429981997	12.14	0.0	3.5	33000	0.0	7.5	31000	0.55	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	96.296
28.112	4	109.68	87.0	-429981997	12.14	0.0	3.5	33000	0.0	7.5	31000	0.55	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	93.00399999999999
45.895	4	109.68	87.0	-429981997	12.14	0.0	3.5	33000	0.0	7.5	31000	0.55	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	83.95100000000001
54.162	4	109.68	87.0	-429981997	12.14	0.0	3.5	33000	0.0	7.5	31000	0.55	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	87.243
63.198	4	109.68	87.0	-429981997	12.14	0.0	3.5	33000	0.0	7.5	31000	0.55	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	88.889
84.081	4	109.68	87.0	-429981997	12.14	0.0	3.5	33000	0.0	7.5	31000	0.55	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	81.07
0.0	4	89.01	81.0	-429981997	12.14	0.0	3.5	61500	0.0	7.5	31000	0.675	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	0.0
0.8109999999999999	4	89.01	81.0	-429981997	12.14	0.0	3.5	61500	0.0	7.5	31000	0.675	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	14.35
7.074	4	89.01	81.0	-429981997	12.14	0.0	3.5	61500	0.0	7.5	31000	0.675	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	41.021
14.044	4	89.01	81.0	-429981997	12.14	0.0	3.5	61500	0.0	7.5	31000	0.675	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	41.876999999999995
28.254	4	89.01	81.0	-429981997	12.14	0.0	3.5	61500	0.0	7.5	31000	0.675	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	48.507
46.318000000000005	4	89.01	81.0	-429981997	12.14	0.0	3.5	61500	0.0	7.5	31000	0.675	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	48.18899999999999
54.333999999999996	4	89.01	81.0	-429981997	12.14	0.0	3.5	61500	0.0	7.5	31000	0.675	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	54.378
63.195	4	89.01	81.0	-429981997	12.14	0.0	3.5	61500	0.0	7.5	31000	0.675	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	88.03
84.348	4	89.01	81.0	-429981997	12.14	0.0	3.5	61500	0.0	7.5	31000	0.675	0.0	0.6	39	0.0	1166699.675	0.0	0	2935	84.86
